Year	OP	Band	All	students	%
2017	1	722	2.77	722	2.77
2017	2	1091	4.19	1813	6.96
2017	3	1249	4.79	3062	11.75
2017	4	1329	5.1	4391	16.85
2017	5	1377	5.28	5768	22.13
2017	6	1409	5.41	7177	27.53
2017	7	1556	5.97	8733	33.5
2017	8	1674	6.42	10407	39.92
2017	9	1753	6.72	12160	46.65
2017	10	1669	6.4	13829	53.05
2017	11	1671	6.41	15500	59.46
2017	12	1559	5.98	17059	65.44
2017	13	1533	5.88	18592	71.32
2017	14	1479	5.67	20071	77
2017	15	1383	5.31	21454	82.3
2017	16	1284	4.93	22738	87.23
2017	17	1099	4.22	23837	91.45
2017	18	854	3.28	24691	94.72
2017	19	559	2.14	25250	96.87
2017	20	395	1.52	25645	98.38
2017	21	275	1.05	25920	99.44
2017	22	97	0.37	26017	99.81
2017	23	42	0.16	26059	99.97
2017	24	6	0.02	26065	99.99
2017	25	2	0.01	26067	100
2016	1	709	2.77	709	2.77
2016	2	1040	4.06	1749	6.83
2016	3	1179	4.6	2928	11.43
2016	4	1208	4.72	4136	16.15
2016	5	1259	4.92	5395	21.06
2016	6	1428	5.58	6823	26.64
2016	7	1519	5.93	8342	32.57
2016	8	1622	6.33	9964	38.9
2016	9	1712	6.68	11676	45.59
2016	10	1624	6.34	13300	51.93
2016	11	1616	6.31	14916	58.24
2016	12	1536	6	16452	64.24
2016	13	1488	5.81	17940	70.05
2016	14	1489	5.81	19429	75.86
2016	15	1406	5.49	20835	81.35
2016	16	1282	5.01	22117	86.35
2016	17	1140	4.45	23257	90.81
2016	18	869	3.39	24126	94.2
2016	19	585	2.28	24711	96.48
2016	20	455	1.78	25166	98.26
2016	21	278	1.09	25444	99.34
2016	22	120	0.47	25564	99.81
2016	23	37	0.14	25601	99.96
2016	24	7	0.03	25608	99.98
2016	25	4	0.02	25612	100
2015	1	709	2.75	709	2.75
2015	2	989	3.84	1698	6.59
2015	3	1135	4.41	2833	11
2015	4	1209	4.69	4042	15.69
2015	5	1234	4.79	5276	20.48
2015	6	1366	5.3	6642	25.78
2015	7	1577	6.12	8219	31.9
2015	8	1671	6.49	9890	38.39
2015	9	1698	6.59	11588	44.98
2015	10	1599	6.21	13187	51.18
2015	11	1560	6.05	14747	57.24
2015	12	1476	5.73	16223	62.97
2015	13	1452	5.64	17675	68.6
2015	14	1473	5.72	19148	74.32
2015	15	1381	5.36	20529	79.68
2015	16	1313	5.1	21842	84.78
2015	17	1162	4.51	23004	89.29
2015	18	921	3.57	23925	92.86
2015	19	688	2.67	24613	95.53
2015	20	494	1.92	25107	97.45
2015	21	385	1.49	25492	98.94
2015	22	168	0.65	25660	99.6
2015	23	88	0.34	25748	99.94
2015	24	14	0.05	25762	99.99
2015	25	2	0.01	25764	100
